"Notes"	"County"	"County Code"	Births
	"Aiken County, SC"	"45003"	1860
	"Anderson County, SC"	"45007"	2298
	"Beaufort County, SC"	"45013"	2012
	"Berkeley County, SC"	"45015"	2697
	"Charleston County, SC"	"45019"	4803
	"Dorchester County, SC"	"45035"	1861
	"Florence County, SC"	"45041"	1695
	"Greenville County, SC"	"45045"	6409
	"Horry County, SC"	"45051"	3167
	"Lexington County, SC"	"45063"	3210
	"Pickens County, SC"	"45077"	1169
	"Richland County, SC"	"45079"	4646
	"Spartanburg County, SC"	"45083"	3820
	"Sumter County, SC"	"45085"	1386
	"York County, SC"	"45091"	2958
	"Unidentified Counties, SC"	"45999"	13038
	"Minnehaha County, SD"	"46099"	2911
	"Pennington County, SD"	"46103"	1468
	"Unidentified Counties, SD"	"46999"	7755
	"Blount County, TN"	"47009"	1220
	"Davidson County, TN"	"47037"	10063
	"Hamilton County, TN"	"47065"	4235
	"Knox County, TN"	"47093"	5211
	"Montgomery County, TN"	"47125"	3382
	"Rutherford County, TN"	"47149"	4030
	"Shelby County, TN"	"47157"	13163
	"Sullivan County, TN"	"47163"	1539
	"Sumner County, TN"	"47165"	2193
	"Washington County, TN"	"47179"	1236
	"Williamson County, TN"	"47187"	2401
	"Wilson County, TN"	"47189"	1567
	"Unidentified Counties, TN"	"47999"	30776
	"Bell County, TX"	"48027"	5976
	"Bexar County, TX"	"48029"	27014
	"Brazoria County, TX"	"48039"	4630
	"Brazos County, TX"	"48041"	2692
	"Cameron County, TX"	"48061"	6276
	"Collin County, TX"	"48085"	10919
	"Comal County, TX"	"48091"	1480
	"Dallas County, TX"	"48113"	39263
	"Denton County, TX"	"48121"	9786
	"Ector County, TX"	"48135"	2750
	"Ellis County, TX"	"48139"	2214
	"El Paso County, TX"	"48141"	12013
	"Fort Bend County, TX"	"48157"	9627
	"Galveston County, TX"	"48167"	3995
	"Grayson County, TX"	"48181"	1580
	"Gregg County, TX"	"48183"	1623
	"Guadalupe County, TX"	"48187"	1773
	"Harris County, TX"	"48201"	68422
	"Hays County, TX"	"48209"	2584
	"Hidalgo County, TX"	"48215"	14108
	"Jefferson County, TX"	"48245"	3475
	"Johnson County, TX"	"48251"	2117
	"Kaufman County, TX"	"48257"	1675
	"Lubbock County, TX"	"48303"	4017
	"McLennan County, TX"	"48309"	3446
	"Midland County, TX"	"48329"	2826
	"Montgomery County, TX"	"48339"	7139
	"Nueces County, TX"	"48355"	4520
	"Parker County, TX"	"48367"	1498
	"Potter County, TX"	"48375"	1714
	"Randall County, TX"	"48381"	1550
	"Smith County, TX"	"48423"	3055
	"Tarrant County, TX"	"48439"	27820
	"Taylor County, TX"	"48441"	2094
	"Tom Green County, TX"	"48451"	1558
	"Travis County, TX"	"48453"	15142
	"Webb County, TX"	"48479"	4872
	"Wichita County, TX"	"48485"	1624
	"Williamson County, TX"	"48491"	6432
	"Unidentified Counties, TX"	"48999"	56751
	"Cache County, UT"	"49005"	2194
	"Davis County, UT"	"49011"	5481
	"Salt Lake County, UT"	"49035"	16754
	"Utah County, UT"	"49049"	11618
	"Washington County, UT"	"49053"	2202
	"Weber County, UT"	"49057"	3766
	"Unidentified Counties, UT"	"49999"	6570
	"Chittenden County, VT"	"50007"	1450
	"Unidentified Counties, VT"	"50999"	4205
	"Arlington County, VA"	"51013"	2990
	"Chesterfield County, VA"	"51041"	3845
	"Fairfax County, VA"	"51059"	14220
	"Henrico County, VA"	"51087"	3895
	"Loudoun County, VA"	"51107"	5067
	"Prince William County, VA"	"51153"	6675
	"Spotsylvania County, VA"	"51177"	1505
	"Stafford County, VA"	"51179"	1746
	"Alexandria city, VA"	"51510"	2647
	"Chesapeake city, VA"	"51550"	2902
	"Hampton city, VA"	"51650"	1736
	"Newport News city, VA"	"51700"	2717
	"Norfolk city, VA"	"51710"	3410
	"Richmond city, VA"	"51760"	3031
	"Virginia Beach city, VA"	"51810"	5710
	"Unidentified Counties, VA"	"51999"	38295
	"Benton County, WA"	"53005"	2563
	"Clark County, WA"	"53011"	5520
	"Cowlitz County, WA"	"53015"	1295
	"King County, WA"	"53033"	25300
	"Kitsap County, WA"	"53035"	2979
	"Pierce County, WA"	"53053"	11297
	"Skagit County, WA"	"53057"	1429
	"Snohomish County, WA"	"53061"	9883
	"Spokane County, WA"	"53063"	5895
	"Thurston County, WA"	"53067"	3067
	"Whatcom County, WA"	"53073"	2163
	"Yakima County, WA"	"53077"	3789
	"Unidentified Counties, WA"	"53999"	12382
	"Berkeley County, WV"	"54003"	1361
	"Kanawha County, WV"	"54039"	1929
	"Unidentified Counties, WV"	"54999"	15385
	"Brown County, WI"	"55009"	3323
	"Dane County, WI"	"55025"	5883
	"Fond du Lac County, WI"	"55039"	1066
	"Kenosha County, WI"	"55059"	1876
	"La Crosse County, WI"	"55063"	1188
	"Marathon County, WI"	"55073"	1451
	"Milwaukee County, WI"	"55079"	13427
	"Outagamie County, WI"	"55087"	2205
	"Racine County, WI"	"55101"	2285
	"Rock County, WI"	"55105"	1911
	"Sheboygan County, WI"	"55117"	1204
	"Walworth County, WI"	"55127"	917
	"Washington County, WI"	"55131"	1291
	"Waukesha County, WI"	"55133"	3863
	"Winnebago County, WI"	"55139"	1833
	"Unidentified Counties, WI"	"55999"	21252
	"Unidentified Counties, WY"	"56999"	6903
"Total"			3855500
"---"
"Dataset: Natality, 2007-2020"
"Query Parameters:"
"Year: 2017"
"Group By: County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Sep 28, 2022 3:01:31 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2020, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Sep 28, 2022 3:01:31 PM"
"---"
Messages:
"1. Rows with zero Births are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
"1. 'Missing County' appears when county data is not available for a certain year. This occurs because the county did not meet"
"minimum population standards and thus the data for the county was recoded to the ""Unidentified Counties"" category for the"
"state of the county. More information: http://wonder.cdc.gov/wonder/help/Natality.html#Locations."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties""."
"4. <p> As a result of population changes the following counties do not have data available for all years.<br/> Before 2014 the"
"data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the county because"
"they did not meet minimum population standards. Houston County, AL (01069); Navajo County, AZ (04017); Faulkner County, AR"
"(05045); Saline County, AR (05125); Bartow County, GA (13015); Carroll County, GA (13045); Columbia County, GA (13073); Coweta"
"County, GA (13077); Douglas County, GA (13097); Fayette County, GA (13113); Forsyth County, GA (13117); Lowndes County, GA"
"(13185); Paulding County, GA (13223); Whitfield County, GA (13313); Bonneville County, ID (16019); DeKalb County, IL (17037);"
"Kendall County, IL (17093); Clark County, IN (18019); Douglas County, KS (20045); Boone County, KY (21015); Hardin County, KY"
"(21093); Warren County, KY (21227); Ascension Parish, LA (22005); Bossier Parish, LA (22015); Livingston Parish, LA (22063);"
